species	tissue_class	tissue_type	cell_name	marker	symbol	marker_source
Mouse	Adipose tissue	Adipose tissue	Schwalie et al.Nature.G3	Tmem106a	Tmem106a	Single-cell sequencing
Mouse	Adipose tissue	Adipose tissue	Schwalie et al.Nature.G4	Jak1	Jak1	Single-cell sequencing
Mouse	Adipose tissue	Adipose tissue	Chondrogenic cell	Sox6	Sox6	Experiment
Mouse	Adipose tissue	Adipose tissue	Schwalie et al.Nature.G1	Nptn	Nptn	Single-cell sequencing
Mouse	Adipose tissue	Adipose tissue	Schwalie et al.Nature.G4	Gng12	Gng12	Single-cell sequencing
Mouse	Adipose tissue	Adipose tissue	Schwalie et al.Nature.G4	Gpx3	Gpx3	Single-cell sequencing
Mouse	Adipose tissue	Adipose tissue	Schwalie et al.Nature.P3	Tnfsf13b	Tnfsf13b	Single-cell sequencing
Mouse	Adipose tissue	Adipose tissue	Schwalie et al.Nature.P3	Rce1	Rce1	Single-cell sequencing
Mouse	Adipose tissue	Adipose tissue	Schwalie et al.Nature.G2	Rassf2	Rassf2	Single-cell sequencing
Mouse	Adipose tissue	Adipose tissue	Schwalie et al.Nature.G2	Penk	Penk	Single-cell sequencing
Mouse	Adipose tissue	Adipose tissue	Schwalie et al.Nature.G2	Tcf4	Tcf4	Single-cell sequencing
Mouse	Adipose tissue	Adipose tissue	Schwalie et al.Nature.G2	Cd36	Cd36	Single-cell sequencing
Mouse	Adipose tissue	Adipose tissue	Schwalie et al.Nature.P1	Fndc1	Fndc1	Single-cell sequencing
Mouse	Adipose tissue	Adipose tissue	Schwalie et al.Nature.G2	Plin2	Plin2	Single-cell sequencing
Mouse	Adipose tissue	Adipose tissue	Schwalie et al.Nature.G4	Rps12-ps3	Rps12-ps3	Single-cell sequencing
Mouse	Adipose tissue	Adipose tissue	Schwalie et al.Nature.G1	Itga11	Itga11	Single-cell sequencing
Mouse	Adipose tissue	Adipose tissue	Schwalie et al.Nature.P3	Egflam	Egflam	Single-cell sequencing
Mouse	Adipose tissue	Adipose tissue	Schwalie et al.Nature.G1	Cyb5a	Cyb5a	Single-cell sequencing
Mouse	Adipose tissue	Adipose tissue	Schwalie et al.Nature.P1	Islr2	Islr2	Single-cell sequencing
Mouse	Adipose tissue	Adipose tissue	Schwalie et al.Nature.G3	Acvr2a	Acvr2a	Single-cell sequencing
Mouse	Adipose tissue	Adipose tissue	Schwalie et al.Nature.G3	Gstm2	Gstm2	Single-cell sequencing
Mouse	Adipose tissue	Adipose tissue	Schwalie et al.Nature.G4	Psmb10	Psmb10	Single-cell sequencing
Mouse	Adipose tissue	Adipose tissue	Schwalie et al.Nature.G1	Nfix	Nfix	Single-cell sequencing
Mouse	Adipose tissue	Adipose tissue	Schwalie et al.Nature.P2	Noct	Noct	Single-cell sequencing
Mouse	Adipose tissue	Adipose tissue	Schwalie et al.Nature.G4	Gapdh	Gapdh	Single-cell sequencing
Mouse	Adipose tissue	Adipose tissue	Schwalie et al.Nature.G1	Fndc1	Fndc1	Single-cell sequencing
Mouse	Adipose tissue	Adipose tissue	Schwalie et al.Nature.P3	Pltp	Pltp	Single-cell sequencing
Mouse	Adipose tissue	Adipose tissue	Schwalie et al.Nature.G4	Rps20	Rps20	Single-cell sequencing
Mouse	Adipose tissue	Adipose tissue	Schwalie et al.Nature.G2	Tpbg	Tpbg	Single-cell sequencing
Mouse	Adipose tissue	Adipose tissue	Schwalie et al.Nature.P3	Arl8b	Arl8b	Single-cell sequencing
Mouse	Adipose tissue	Adipose tissue	Schwalie et al.Nature.G3	Klf5	Klf5	Single-cell sequencing
Mouse	Adipose tissue	Adipose tissue	Schwalie et al.Nature.G2	Gpr153	Gpr153	Single-cell sequencing
Mouse	Adipose tissue	Adipose tissue	Schwalie et al.Nature.G3	Syne1	Syne1	Single-cell sequencing
Mouse	Adipose tissue	Adipose tissue	Schwalie et al.Nature.G4	Ntrk2	Ntrk2	Single-cell sequencing
Mouse	Adipose tissue	Adipose tissue	Schwalie et al.Nature.P1	Cadm3	Cadm3	Single-cell sequencing
Mouse	Adipose tissue	Adipose tissue	Schwalie et al.Nature.G2	Fscn1	Fscn1	Single-cell sequencing
Mouse	Adipose tissue	Adipose tissue	Schwalie et al.Nature.P3	Igsf3	Igsf3	Single-cell sequencing
Mouse	Adipose tissue	Adipose tissue	Schwalie et al.Nature.G4	Isg15	Isg15	Single-cell sequencing
Mouse	Adipose tissue	Adipose tissue	Schwalie et al.Nature.P2	Anxa5	Anxa5	Single-cell sequencing
Mouse	Adipose tissue	Adipose tissue	Schwalie et al.Nature.G1	Ar	Ar	Single-cell sequencing
Mouse	Adipose tissue	Adipose tissue	Schwalie et al.Nature.G4	Ly6c1	Ly6c1	Single-cell sequencing
Mouse	Adipose tissue	Adipose tissue	Schwalie et al.Nature.G3	Rpl3	Rpl3	Single-cell sequencing
Mouse	Adipose tissue	Adipose tissue	Schwalie et al.Nature.G4	Slirp	Slirp	Single-cell sequencing
Mouse	Adipose tissue	Adipose tissue	Schwalie et al.Nature.P2	Col6a3	Col6a3	Single-cell sequencing
Mouse	Adipose tissue	Adipose tissue	Schwalie et al.Nature.P1	Akr1c18	Akr1c18	Single-cell sequencing
Mouse	Adipose tissue	Adipose tissue	Schwalie et al.Nature.G4	Oas1a	Oas1a	Single-cell sequencing
Mouse	Adipose tissue	Adipose tissue	Schwalie et al.Nature.P3	Tmem204	Tmem204	Single-cell sequencing
Mouse	Adipose tissue	Adipose tissue	Schwalie et al.Nature.P2	Ubb	Ubb	Single-cell sequencing
Mouse	Adipose tissue	Adipose tissue	Schwalie et al.Nature.P1	Tmem158	Tmem158	Single-cell sequencing
Mouse	Adipose tissue	Adipose tissue	Schwalie et al.Nature.P1	Nin	Nin	Single-cell sequencing
Mouse	Adipose tissue	Adipose tissue	Schwalie et al.Nature.G4	Ptpn5	Ptpn5	Single-cell sequencing
Mouse	Adipose tissue	Adipose tissue	Schwalie et al.Nature.G1	Mustn1	Mustn1	Single-cell sequencing
Mouse	Adipose tissue	Adipose tissue	Schwalie et al.Nature.P2	Btg2	Btg2	Single-cell sequencing
Mouse	Adipose tissue	Adipose tissue	Schwalie et al.Nature.P2	Cfap20	Cfap20	Single-cell sequencing
Mouse	Adipose tissue	Adipose tissue	Schwalie et al.Nature.G3	Adh1	Adh1	Single-cell sequencing
Mouse	Adipose tissue	Adipose tissue	Schwalie et al.Nature.G2	Fhl2	Fhl2	Single-cell sequencing
Mouse	Adipose tissue	Adipose tissue	Schwalie et al.Nature.G2	Tpm2	Tpm2	Single-cell sequencing
Mouse	Adipose tissue	Adipose tissue	Schwalie et al.Nature.G2	Spop	Spop	Single-cell sequencing
Mouse	Adipose tissue	Adipose tissue	Schwalie et al.Nature.G2	Snhg18	Snhg18	Single-cell sequencing
Mouse	Adipose tissue	Adipose tissue	Schwalie et al.Nature.G2	Btg1	Btg1	Single-cell sequencing
Mouse	Adipose tissue	Adipose tissue	Schwalie et al.Nature.P3	Zmpste24	Zmpste24	Single-cell sequencing
Mouse	Adipose tissue	Adipose tissue	Schwalie et al.Nature.P1	Itga11	Itga11	Single-cell sequencing
Mouse	Adipose tissue	Adipose tissue	Stem cell	Ly6a	Ly6a	Experiment
Mouse	Adipose tissue	Adipose tissue	Schwalie et al.Nature.P3	Prickle1	Prickle1	Single-cell sequencing
Mouse	Adipose tissue	Adipose tissue	Schwalie et al.Nature.G4	Rps12	Rps12	Single-cell sequencing
Mouse	Adipose tissue	Adipose tissue	Schwalie et al.Nature.G4	Lbp	Lbp	Single-cell sequencing
Mouse	Adipose tissue	Adipose tissue	Schwalie et al.Nature.P3	Ubl3	Ubl3	Single-cell sequencing
Mouse	Adipose tissue	Adipose tissue	Schwalie et al.Nature.G4	Mnda	Ifi211	Single-cell sequencing
Mouse	Adipose tissue	Adipose tissue	Schwalie et al.Nature.P3	Pdgfrl	Pdgfrl	Single-cell sequencing
Mouse	Adipose tissue	Adipose tissue	Schwalie et al.Nature.G1	Fhl1	Fhl1	Single-cell sequencing
Mouse	Adipose tissue	Adipose tissue	Schwalie et al.Nature.P3	Arhgap44	Arhgap44	Single-cell sequencing
Mouse	Adipose tissue	Adipose tissue	Schwalie et al.Nature.G3	Mycbp2	Mycbp2	Single-cell sequencing
Mouse	Adipose tissue	Adipose tissue	Schwalie et al.Nature.G4	Thbd	Thbd	Single-cell sequencing
Mouse	Adipose tissue	Adipose tissue	Schwalie et al.Nature.P3	Lgals8	Lgals8	Single-cell sequencing
Mouse	Adipose tissue	Adipose tissue	Schwalie et al.Nature.P2	Gm42439		Single-cell sequencing
Mouse	Adipose tissue	Adipose tissue	Schwalie et al.Nature.P3	Nr1d1	Nr1d1	Single-cell sequencing
Mouse	Adipose tissue	Adipose tissue	Schwalie et al.Nature.G1	Ackr2	Ackr2	Single-cell sequencing
Mouse	Adipose tissue	Adipose tissue	Schwalie et al.Nature.P1	Akr1c14	Akr1c14	Single-cell sequencing
Mouse	Adipose tissue	Adipose tissue	Schwalie et al.Nature.G4	Aldh1a1	Aldh1a1	Single-cell sequencing
Mouse	Adipose tissue	Adipose tissue	Schwalie et al.Nature.P2	Gpm6b	Gpm6b	Single-cell sequencing
Mouse	Adipose tissue	Adipose tissue	Schwalie et al.Nature.G2	Alx4	Alx4	Single-cell sequencing
Mouse	Adipose tissue	Adipose tissue	Schwalie et al.Nature.G2	Enpep	Enpep	Single-cell sequencing
