species	tissue_class	tissue_type	cell_name	marker	symbol	marker_source
Mouse	Undefined	Undefined	Eosinophil	CD123	Il3ra	Company
Mouse	Undefined	Undefined	Mast cell	CD123	Il3ra	Company
Mouse	Undefined	Undefined	Specialist antigen presenting cell	CD123	Il3ra	Company
Mouse	Undefined	Undefined	Myeloid-derived suppressor cell	CD124	Il4ra	Company
Mouse	Undefined	Undefined	Basophil	CD125	Il5ra	Company
Mouse	Undefined	Undefined	Eosinophil	CD125	Il5ra	Company
Mouse	Undefined	Undefined	Mast cell	CD125	Il5ra	Company
Mouse	Undefined	Undefined	B cell	CD126	Il6ra	Company
Mouse	Undefined	Undefined	Eosinophil	CD126	Il6ra	Company
Mouse	Undefined	Undefined	T helper cell	CD126	Il6ra	Company
Mouse	Undefined	Undefined	Mast cell	CD126	Il6ra	Company
Mouse	Undefined	Undefined	T cell	CD126	Il6ra	Company
Mouse	Undefined	Undefined	B cell	CD127	Il7r	Company
Mouse	Undefined	Undefined	CD4+ T cell	CD127	Il7r	Company
Mouse	Undefined	Undefined	Central memory T cell	CD127	Il7r	Company
Mouse	Undefined	Undefined	Common lymphoid progenitor cell	CD127	Il7r	Company
Mouse	Undefined	Undefined	Cytotoxic T cell	CD127	Il7r	Company
Mouse	Undefined	Undefined	T helper cell	CD127	Il7r	Company
Mouse	Undefined	Undefined	Lymphoid cell	CD127	Il7r	Company
Mouse	Undefined	Undefined	Lymphoid-primed multipotent progenitor cell(LMPP)	CD127	Il7r	Company
Mouse	Undefined	Undefined	Megakaryocyte-erythroid progenitor	CD127	Il7r	Company
Mouse	Undefined	Undefined	Naive T cell	CD127	Il7r	Company
Mouse	Undefined	Undefined	Natural killer cell	CD127	Il7r	Company
Mouse	Undefined	Undefined	Specialist antigen presenting cell	CD127	Il7r	Company
Mouse	Undefined	Undefined	T cell	CD127	Il7r	Company
Mouse	Undefined	Undefined	Platelet	GPIa	Itga2	Company
Mouse	Undefined	Undefined	Basophil	CD41	Itga2b	Company
Mouse	Undefined	Undefined	Common myeloid progenitor cell	CD41	Itga2b	Company
Mouse	Undefined	Undefined	Granulocyte-monocyte progenitor	CD41	Itga2b	Company
Mouse	Undefined	Undefined	Megakaryocyte	CD41	Itga2b	Company
Mouse	Undefined	Undefined	Megakaryocyte erythroid cell	CD41	Itga2b	Company
Mouse	Undefined	Undefined	Platelet	CD41	Itga2b	Company
Mouse	Undefined	Undefined	T helper cell	CD103	Itgae	Company
Mouse	Undefined	Undefined	Lymphoid cell	CD103	Itgae	Company
Mouse	Undefined	Undefined	Natural killer cell	CD103	Itgae	Company
Mouse	Undefined	Undefined	T cell	CD103	Itgae	Company
Mouse	Undefined	Undefined	Red blood cell (erythrocyte)	CD51	Itgav	Company
Mouse	Undefined	Undefined	Megakaryocyte	CD51	Itgav	Company
Mouse	Undefined	Undefined	Megakaryocyte erythroid cell	CD51	Itgav	Company
Mouse	Undefined	Undefined	Platelet	CD51	Itgav	Company
Mouse	Undefined	Undefined	T cell	CD51	Itgav	Company
Mouse	Undefined	Undefined	Embryonic stem cell	CD29	Itgb1	Company
Mouse	Undefined	Undefined	Fibroblast	CD29	Itgb1	Company
Mouse	Undefined	Undefined	Endothelial cell	CD61	Itgb3	Company
Mouse	Undefined	Undefined	Red blood cell (erythrocyte)	CD61	Itgb3	Company
Mouse	Undefined	Undefined	Megakaryocyte	CD61	Itgb3	Company
Mouse	Undefined	Undefined	Megakaryocyte erythroid cell	CD61	Itgb3	Company
Mouse	Undefined	Undefined	Platelet	CD61	Itgb3	Company
Mouse	Undefined	Undefined	T cell	CD61	Itgb3	Company
Mouse	Undefined	Undefined	B cell	CD117	Kit	Company
Mouse	Undefined	Undefined	Basophil	CD117	Kit	Company
Mouse	Undefined	Undefined	Common lymphoid progenitor cell	CD117	Kit	Company
Mouse	Undefined	Undefined	Common myeloid progenitor cell	CD117	Kit	Company
Mouse	Undefined	Undefined	Embryonic stem cell	CD117	Kit	Company
Mouse	Undefined	Undefined	Granulocyte-monocyte progenitor	CD117	Kit	Company
Mouse	Undefined	Undefined	Hematopoietic stem cell	CD117	Kit	Company
Mouse	Undefined	Undefined	Lymphoid cell	CD117	Kit	Company
Mouse	Undefined	Undefined	Lymphoid-primed multipotent progenitor cell(LMPP)	CD117	Kit	Company
Mouse	Undefined	Undefined	Mast cell	CD117	Kit	Company
Mouse	Undefined	Undefined	Megakaryocyte	CD117	Kit	Company
Mouse	Undefined	Undefined	Megakaryocyte erythroid cell	CD117	Kit	Company
Mouse	Undefined	Undefined	Megakaryocyte-erythroid progenitor	CD117	Kit	Company
Mouse	Undefined	Undefined	Multipotent progenitor cell	CD117	Kit	Company
Mouse	Undefined	Undefined	Natural killer cell	CD117	Kit	Company
Mouse	Undefined	Undefined	Specialist antigen presenting cell	CD117	Kit	Company
Mouse	Undefined	Undefined	T cell	CD117	Kit	Company
Mouse	Undefined	Undefined	Lymphoid cell	CD94	Klrd1	Company
Mouse	Undefined	Undefined	Natural killer cell	CD94	Klrd1	Company
Mouse	Undefined	Undefined	T cell	CD94	Klrd1	Company
Mouse	Undefined	Undefined	T helper1 (Th1) cell	CD94	Klrd1	Company
Mouse	Undefined	Undefined	Marginal zone B cell	CD1	Ky	Company
Mouse	Undefined	Undefined	Neuron	CD171	L1cam	Company
Mouse	Undefined	Undefined	Effector T cell	CD223	Lag3	Company
Mouse	Undefined	Undefined	Platelet	CD107a	Lamp1	Company
Mouse	Undefined	Undefined	Platelet	CD107b	Lamp2	Company
Mouse	Undefined	Undefined	Fibroblast	CD91	Lrp1	Company
Mouse	Undefined	Undefined	T helper cell	CD161	Klrb1c	Company
Mouse	Undefined	Undefined	Lymphoid cell	CD161	Klrb1c	Company
Mouse	Undefined	Undefined	Natural killer cell	CD161	Klrb1c	Company
Mouse	Undefined	Undefined	Natural killer cell	NK1.1	Klrb1c	Company
Mouse	Undefined	Undefined	Embryonic stem cell	CD326	Epcam	Company
Mouse	Undefined	Undefined	Epithelial cell	CD326	Epcam	Company
Mouse	Undefined	Undefined	Conventional dendritic cell	CD205	Ly75	Company
Mouse	Undefined	Undefined	Specialist antigen presenting cell	CD205	Ly75	Company
Mouse	Undefined	Undefined	Natural killer cell	NKp46	Ncr1	Company
Mouse	Undefined	Undefined	Regulatory T (Treg) cell	Ki67	Mki67	Company
Mouse	Undefined	Undefined	B cell	CD10	Mme	Company
Mouse	Undefined	Undefined	Cytotoxic T cell	CD10	Mme	Company
Mouse	Undefined	Undefined	Fibroblast	CD10	Mme	Company
Mouse	Undefined	Undefined	T helper cell	CD10	Mme	Company
Mouse	Undefined	Undefined	Lymphoid cell	CD10	Mme	Company
Mouse	Undefined	Undefined	Neutrophil	CD10	Mme	Company
Mouse	Undefined	Undefined	Natural killer cell	CD10	Mme	Company
Mouse	Undefined	Undefined	Specialist antigen presenting cell	CD10	Mme	Company
Mouse	Undefined	Undefined	Stromal cell	CD10	Mme	Company
Mouse	Undefined	Undefined	T cell	CD10	Mme	Company
Mouse	Undefined	Undefined	Platelet	CD110	Mpl	Company
Mouse	Undefined	Undefined	M2 macrophage	CD206	Mrc1	Company
Mouse	Undefined	Undefined	Specialist antigen presenting cell	CD206	Mrc1	Company
Mouse	Undefined	Undefined	Natural killer cell	E4BP4	Nfil3	Company
Mouse	Undefined	Undefined	CD4+ T cell	PD-1	Pdcd1	Company
Mouse	Undefined	Undefined	Fibroblast	CD140a	Pdgfra	Company
Mouse	Undefined	Undefined	Fibroblast	CD140b	Pdgfrb	Company
Mouse	Undefined	Undefined	Embryonic stem cell	Oct3/4	Pou5f1	Company
Mouse	Undefined	Undefined	Induced pluripotent stem cell	Oct3/4	Pou5f1	Company
Mouse	Undefined	Undefined	Neuron	CD230	Prnp	Company
Mouse	Undefined	Undefined	Epithelial cell	CD133	Prom1	Company
Mouse	Undefined	Undefined	B cell	B220	Ptprc	Company
Mouse	Undefined	Undefined	B cell	CD45R	Ptprc	Company
Mouse	Undefined	Undefined	Cytotoxic T cell	CD45R	Ptprc	Company
Mouse	Undefined	Undefined	Lymphoid cell	CD45R	Ptprc	Company
Mouse	Undefined	Undefined	Memory B cell	CD45R	Ptprc	Company
Mouse	Undefined	Undefined	Natural killer cell	CD45R	Ptprc	Company
Mouse	Undefined	Undefined	Plasmacytoid dendritic cell	CD45R	Ptprc	Company
Mouse	Undefined	Undefined	T cell	CD45R	Ptprc	Company
Mouse	Undefined	Undefined	Memory B cell	CBF1	Rbpj	Company
Mouse	Undefined	Undefined	Regulatory T (Treg) cell	c-Rel	Rel	Company
Mouse	Undefined	Undefined	Endothelial cell	CD62E	Sele	Company
Mouse	Undefined	Undefined	B cell	CD62L	Sell	Company
Mouse	Undefined	Undefined	Central memory T cell	CD62L	Sell	Company
Mouse	Undefined	Undefined	Cytotoxic T cell	CD62L	Sell	Company
Mouse	Undefined	Undefined	T helper cell	CD62L	Sell	Company
Mouse	Undefined	Undefined	Naive T cell	CD62L	Sell	Company
Mouse	Undefined	Undefined	T cell	CD62L	Sell	Company
Mouse	Undefined	Undefined	Megakaryocyte	CD62P	Selp	Company
Mouse	Undefined	Undefined	Platelet	CD62P	Selp	Company
Mouse	Undefined	Undefined	B cell	CD36	Scarb1	Company
Mouse	Undefined	Undefined	Follicular B cell	CD36	Scarb1	Company
Mouse	Undefined	Undefined	Marginal zone B cell	CD36	Scarb1	Company
Mouse	Undefined	Undefined	Regulatory T (Treg) cell	STAT5	Stat5a	Company
Mouse	Undefined	Undefined	B cell	CD138	Sdc1	Company
Mouse	Undefined	Undefined	Plasma cell	CD138	Sdc1	Company
Mouse	Undefined	Undefined	Plasmacytoid dendritic cell	E2-2	Tcf4	Company
Mouse	Undefined	Undefined	Specialist antigen presenting cell	CD141	Thbd	Company
Mouse	Undefined	Undefined	Lymphoid cell	CD90	Thy1	Company
Mouse	Undefined	Undefined	Neuron	CD90	Thy1	Company
Mouse	Undefined	Undefined	Natural killer cell	CD90	Thy1	Company
Mouse	Undefined	Undefined	Specialist antigen presenting cell	CD90	Thy1	Company
Mouse	Undefined	Undefined	T cell	CD90	Thy1	Company
Mouse	Undefined	Undefined	Basophil	CD154	Cd40lg	Company
Mouse	Undefined	Undefined	CD4+ T cell	CD154	Cd40lg	Company
Mouse	Undefined	Undefined	T helper cell	CD154	Cd40lg	Company
Mouse	Undefined	Undefined	Megakaryocyte	CD154	Cd40lg	Company
Mouse	Undefined	Undefined	T cell	CD154	Cd40lg	Company
Mouse	Undefined	Undefined	CD4+ T cell	CD134	Tnfrsf4	Company
Mouse	Undefined	Undefined	Effector T cell	CD134	Tnfrsf4	Company
Mouse	Undefined	Undefined	Endothelial cell	CD106	Vcam1	Company
Mouse	Undefined	Undefined	Follicular B cell	Ikaros	Ikzf1	Company
Mouse	Undefined	Undefined	Regulatory T (Treg) cell	Helios	Ikzf2	Company
Mouse	Undefined	Undefined	Regulatory T (Treg) cell	Eos	Ikzf4	Company
Mouse	Undefined	Undefined	B cell	CD73	Nt5e	Company
Mouse	Undefined	Undefined	T helper cell	CD73	Nt5e	Company
Mouse	Undefined	Undefined	Regulatory T (Treg) cell	CD73	Nt5e	Company
Mouse	Undefined	Undefined	T cell	CD73	Nt5e	Company
Mouse	Undefined	Undefined	Epithelial cell	CD66a	Ceacam1	Company
Mouse	Undefined	Undefined	Neutrophil	CD66a	Ceacam1	Company
Mouse	Undefined	Undefined	Hematopoietic stem cell	CD150	Slamf1	Company
Mouse	Undefined	Undefined	Megakaryocyte	CD150	Slamf1	Company
Mouse	Undefined	Undefined	Megakaryocyte erythroid cell	CD150	Slamf1	Company
Mouse	Undefined	Undefined	T cell	CD150	Slamf1	Company
Mouse	Undefined	Undefined	M2 macrophage	RELMalpha	Retnla	Company
Mouse	Undefined	Undefined	B cell	CCR10	Ackr2	Company
Mouse	Undefined	Undefined	T helper cell	CCR10	Ackr2	Company
Mouse	Undefined	Undefined	T cell	CCR10	Ackr2	Company
Mouse	Undefined	Undefined	B cell	CD317	Bst2	Company
Mouse	Undefined	Undefined	Plasmacytoid dendritic cell	CD317	Bst2	Company
Mouse	Undefined	Undefined	Specialist antigen presenting cell	CD317	Bst2	Company
Mouse	Undefined	Undefined	Induced pluripotent stem cell	Lin28	Lin28a	Company
Mouse	Undefined	Undefined	Endothelial cell	CD146	Mcam	Company
Mouse	Undefined	Undefined	B cell	Sca-1	Ly6a	Company
Mouse	Undefined	Undefined	Common lymphoid progenitor cell	Sca-1	Ly6a	Company
Mouse	Undefined	Undefined	Common myeloid progenitor cell	Sca-1	Ly6a	Company
Mouse	Undefined	Undefined	Granulocyte-monocyte progenitor	Sca-1	Ly6a	Company
Mouse	Undefined	Undefined	Hematopoietic stem cell	Sca-1	Ly6a	Company
Mouse	Undefined	Undefined	Lymphoid cell	Sca-1	Ly6a	Company
Mouse	Undefined	Undefined	Lymphoid-primed multipotent progenitor cell(LMPP)	Sca-1	Ly6a	Company
Mouse	Undefined	Undefined	Megakaryocyte-erythroid progenitor	Sca-1	Ly6a	Company
Mouse	Undefined	Undefined	Multipotent progenitor cell	Sca-1	Ly6a	Company
Mouse	Undefined	Undefined	Natural killer cell	Sca-1	Ly6a	Company
Mouse	Undefined	Undefined	Specialist antigen presenting cell	Sca-1	Ly6a	Company
Mouse	Undefined	Undefined	T cell	Sca-1	Ly6a	Company
Mouse	Undefined	Undefined	Conventional dendritic cell	CD209	Cd209a	Company
Mouse	Undefined	Undefined	M2 macrophage	CD209	Cd209a	Company
Mouse	Undefined	Undefined	Specialist antigen presenting cell	CD209	Cd209a	Company
Mouse	Undefined	Undefined	Epithelial cell	CD104	Itgb4	Company
Mouse	Undefined	Undefined	T helper17 (Th17) cell	IL-23R	Il23r	Company
Mouse	Undefined	Undefined	Plasmacytoid dendritic cell	Siglec-H	Siglech	Company
Mouse	Undefined	Undefined	Lymphoid cell	PLZF	Zbtb16	Company
Mouse	Undefined	Undefined	Natural killer cell	PLZF	Zbtb16	Company
Mouse	Undefined	Undefined	T cell	PLZF	Zbtb16	Company
Mouse	Undefined	Undefined	Megakaryocyte	GARP	Cd109	Company
Mouse	Undefined	Undefined	Platelet	GARP	Cd109	Company
Mouse	Undefined	Undefined	Regulatory T (Treg) cell	GARP	Cd109	Company
Mouse	Undefined	Undefined	Memory B cell	Spi-B	Spib	Company
Mouse	Undefined	Undefined	B cell	IgD	Ighd	Company
Mouse	Undefined	Undefined	Follicular B cell	IgD	Ighd	Company
Mouse	Undefined	Undefined	Marginal zone B cell	IgD	Ighd	Company
Mouse	Undefined	Undefined	Conventional dendritic cell	Dcir2	Clec4a4	Company
Mouse	Undefined	Undefined	B cell	IgM	Igkv14-126	Company
Mouse	Undefined	Undefined	Follicular B cell	IgM	Igkv14-126	Company
Mouse	Undefined	Undefined	Marginal zone B cell	IgM	Igkv14-126	Company
Mouse	Undefined	Undefined	Germinal center B cell	IgG	Igh-V7183	Company
Mouse	Undefined	Undefined	Memory B cell	IgG	Igh-V7183	Company
Mouse	Undefined	Undefined	Plasma cell	IgG	Igh-V7183	Company
Mouse	Undefined	Undefined	B cell	BCR		Company
Mouse	Undefined	Undefined	B cell	BP-1		Company
Mouse	Undefined	Undefined	B cell	CD11b		Company
Mouse	Undefined	Undefined	B cell	CD185		Company
Mouse	Undefined	Undefined	B cell	CD19		Company
Mouse	Undefined	Undefined	B cell	CD1d		Company
Mouse	Undefined	Undefined	B cell	CD20		Company
Mouse	Undefined	Undefined	B cell	CD22		Company
Mouse	Undefined	Undefined	B cell	CD24		Company
Mouse	Undefined	Undefined	B cell	CD27		Company
Mouse	Undefined	Undefined	B cell	CD273		Company
Mouse	Undefined	Undefined	B cell	CD31		Company
Mouse	Undefined	Undefined	B cell	CD319		Company
Mouse	Undefined	Undefined	B cell	CD320		Company
Mouse	Undefined	Undefined	B cell	CD34		Company
Mouse	Undefined	Undefined	B cell	CD357		Company
Mouse	Undefined	Undefined	B cell	CD38		Company
Mouse	Undefined	Undefined	B cell	CD39		Company
Mouse	Undefined	Undefined	B cell	CD40		Company
Mouse	Undefined	Undefined	B cell	CD43		Company
Mouse	Undefined	Undefined	B cell	CD44		Company
Mouse	Undefined	Undefined	B cell	CD45		Company
Mouse	Undefined	Undefined	B cell	CD45RA		Company
Mouse	Undefined	Undefined	B cell	CD45RO		Company
Mouse	Undefined	Undefined	B cell	CD49b		Company
Mouse	Undefined	Undefined	B cell	CD5		Company
Mouse	Undefined	Undefined	B cell	CD80		Company
Mouse	Undefined	Undefined	B cell	CD84		Company
Mouse	Undefined	Undefined	B cell	CD86		Company
Mouse	Undefined	Undefined	B cell	CD9		Company
Mouse	Undefined	Undefined	B cell	CD93		Company
Mouse	Undefined	Undefined	B cell	IL-1R2		Company
Mouse	Undefined	Undefined	B cell	MHC Class II		Company
Mouse	Undefined	Undefined	B cell	Pre-BCR		Company
Mouse	Undefined	Undefined	B cell	CD180		Company
Mouse	Undefined	Undefined	B cell	CD252		Company
Mouse	Undefined	Undefined	B cell	CD69		Company
Mouse	Undefined	Undefined	B cell	CD81		Company
Mouse	Undefined	Undefined	Basophil	CD49b		Company
Mouse	Undefined	Undefined	Basophil	Fc-epsilon RI-alpha		Company
Mouse	Undefined	Undefined	Basophil	CD11a		Company
Mouse	Undefined	Undefined	Basophil	CD13		Company
Mouse	Undefined	Undefined	Basophil	CD192		Company
Mouse	Undefined	Undefined	Basophil	CD218		Company
Mouse	Undefined	Undefined	Basophil	CD281		Company
Mouse	Undefined	Undefined	Basophil	CD282		Company
Mouse	Undefined	Undefined	Basophil	CD284		Company
Mouse	Undefined	Undefined	Basophil	CD286		Company
Mouse	Undefined	Undefined	Basophil	CD289		Company
Mouse	Undefined	Undefined	Basophil	CD294		Company
Mouse	Undefined	Undefined	Basophil	CD33		Company
Mouse	Undefined	Undefined	Basophil	CD38		Company
Mouse	Undefined	Undefined	Basophil	CD43		Company
Mouse	Undefined	Undefined	Basophil	CD88		Company
Mouse	Undefined	Undefined	Basophil	CD9		Company
Mouse	Undefined	Undefined	Basophil	CEBPA		Company
Mouse	Undefined	Undefined	Basophil	GATA2		Company
Mouse	Undefined	Undefined	Basophil	CD11b		Company
Mouse	Undefined	Undefined	Basophil	CD200R3		Company
Mouse	Undefined	Undefined	CD4+ T cell	CD137		Company
Mouse	Undefined	Undefined	CD4+ T cell	CD27		Company
Mouse	Undefined	Undefined	CD4+ T cell	CD272		Company
Mouse	Undefined	Undefined	CD4+ T cell	CD278		Company
Mouse	Undefined	Undefined	CD4+ T cell	CD28		Company
Mouse	Undefined	Undefined	CD4+ T cell	CD4		Company
Mouse	Undefined	Undefined	CD4+ T cell	CD44		Company
Mouse	Undefined	Undefined	CD4+ T cell	CD5		Company
Mouse	Undefined	Undefined	CD4+ T cell	CD62		Company
Mouse	Undefined	Undefined	CD4+ T cell	CD69		Company
Mouse	Undefined	Undefined	CD4+ T cell	CD7		Company
Mouse	Undefined	Undefined	CD8+ T cell	CD27		Company
Mouse	Undefined	Undefined	CD8+ T cell	CD28		Company
Mouse	Undefined	Undefined	CD8+ T cell	CD5		Company
Mouse	Undefined	Undefined	CD8+ T cell	CD8		Company
Mouse	Undefined	Undefined	Central memory T cell	Bcl-6		Company
Mouse	Undefined	Undefined	Central memory T cell	CD44		Company
Mouse	Undefined	Undefined	Central memory T cell	T-bet		Company
Mouse	Undefined	Undefined	Common lymphoid progenitor cell	CD93		Company
Mouse	Undefined	Undefined	Common myeloid progenitor cell	CD34		Company
Mouse	Undefined	Undefined	Conventional dendritic cell	CD11		Company
Mouse	Undefined	Undefined	Conventional dendritic cell	CD183		Company
Mouse	Undefined	Undefined	Conventional dendritic cell	CD207		Company
Mouse	Undefined	Undefined	Conventional dendritic cell	CD273		Company
Mouse	Undefined	Undefined	Conventional dendritic cell	CD289		Company
Mouse	Undefined	Undefined	Conventional dendritic cell	CD369		Company
Mouse	Undefined	Undefined	Conventional dendritic cell	CD370		Company
Mouse	Undefined	Undefined	Conventional dendritic cell	CD4		Company
Mouse	Undefined	Undefined	Conventional dendritic cell	CD40		Company
Mouse	Undefined	Undefined	Conventional dendritic cell	CD8		Company
Mouse	Undefined	Undefined	Conventional dendritic cell	CD83		Company
Mouse	Undefined	Undefined	Cytotoxic T cell	CD200		Company
Mouse	Undefined	Undefined	Cytotoxic T cell	CD34		Company
Mouse	Undefined	Undefined	Cytotoxic T cell	CD38		Company
Mouse	Undefined	Undefined	Cytotoxic T cell	CD4		Company
Mouse	Undefined	Undefined	Cytotoxic T cell	CD44		Company
Mouse	Undefined	Undefined	Cytotoxic T cell	CD45RA		Company
Mouse	Undefined	Undefined	Cytotoxic T cell	CD5		Company
Mouse	Undefined	Undefined	Cytotoxic T cell	CD7		Company
Mouse	Undefined	Undefined	Cytotoxic T cell	CD8		Company
Mouse	Undefined	Undefined	Cytotoxic T cell	TCR alpha/beta		Company
Mouse	Undefined	Undefined	Dendritic cell	MHC class II		Company
Mouse	Undefined	Undefined	Dendritic cell	CD11c		Company
Mouse	Undefined	Undefined	Dendritic cell	CD24		Company
Mouse	Undefined	Undefined	Dendritic cell	CD45		Company
Mouse	Undefined	Undefined	Dendritic cell	Siglec-F		Company
Mouse	Undefined	Undefined	Dendritic cell	CD11		Company
Mouse	Undefined	Undefined	Dendritic cell	CD80		Company
Mouse	Undefined	Undefined	Dendritic cell	CD86		Company
Mouse	Undefined	Undefined	Effector memory T cell	BLIMP1		Company
Mouse	Undefined	Undefined	Effector memory T cell	CD44		Company
Mouse	Undefined	Undefined	Effector memory T cell	CD57		Company
Mouse	Undefined	Undefined	Effector memory T cell	KLRG1		Company
Mouse	Undefined	Undefined	Effector memory T cell	T-bet		Company
Mouse	Undefined	Undefined	Effector T cell	BLIMP1		Company
Mouse	Undefined	Undefined	Effector T cell	CD137		Company
Mouse	Undefined	Undefined	Effector T cell	CD272		Company
Mouse	Undefined	Undefined	Effector T cell	CD278		Company
Mouse	Undefined	Undefined	Effector T cell	CD279		Company
Mouse	Undefined	Undefined	Effector T cell	CD30		Company
Mouse	Undefined	Undefined	Effector T cell	CD366		Company
Mouse	Undefined	Undefined	Effector T cell	CD44		Company
Mouse	Undefined	Undefined	Effector T cell	CD69		Company
Mouse	Undefined	Undefined	Effector T cell	KLRG1		Company
Mouse	Undefined	Undefined	Effector T cell	T-bet		Company
Mouse	Undefined	Undefined	Embryonic stem cell	CD24		Company
Mouse	Undefined	Undefined	Embryonic stem cell	CD31		Company
Mouse	Undefined	Undefined	Embryonic stem cell	CD324		Company
Mouse	Undefined	Undefined	Embryonic stem cell	CD59		Company
Mouse	Undefined	Undefined	Embryonic stem cell	CD9		Company
Mouse	Undefined	Undefined	Endothelial cell	CD144		Company
Mouse	Undefined	Undefined	Endothelial cell	CD202b		Company
Mouse	Undefined	Undefined	Endothelial cell	CD309		Company
Mouse	Undefined	Undefined	Endothelial cell	CD31		Company
Mouse	Undefined	Undefined	Endothelial cell	CD34		Company
Mouse	Undefined	Undefined	Endothelial cell	Podoplanin		Company
Mouse	Undefined	Undefined	Endothelial cell	Vegfr3		Company
Mouse	Undefined	Undefined	Eosinophil	MHC class II		Company
Mouse	Undefined	Undefined	Eosinophil	CD11b		Company
Mouse	Undefined	Undefined	Eosinophil	IL-5R-alpha		Company
Mouse	Undefined	Undefined	Eosinophil	Siglec-F		Company
Mouse	Undefined	Undefined	Eosinophil	CD170		Company
Mouse	Undefined	Undefined	Eosinophil	CD193		Company
Mouse	Undefined	Undefined	Eosinophil	CD24		Company
Mouse	Undefined	Undefined	Eosinophil	CD244		Company
Mouse	Undefined	Undefined	Eosinophil	CD43		Company
Mouse	Undefined	Undefined	Eosinophil	CD9		Company
Mouse	Undefined	Undefined	Eosinophil	Fc-epsilon RI-alpha		Company
Mouse	Undefined	Undefined	Eosinophil	Ly6C		Company
Mouse	Undefined	Undefined	Epithelial cell	CD13		Company
Mouse	Undefined	Undefined	Epithelial cell	CD1d		Company
Mouse	Undefined	Undefined	Epithelial cell	CD282		Company
Mouse	Undefined	Undefined	Epithelial cell	CD44		Company
Mouse	Undefined	Undefined	Epithelial cell	CD49b		Company
Mouse	Undefined	Undefined	Epithelial cell	CD24		Company
Mouse	Undefined	Undefined	Epithelial cell	CD49f		Company
Mouse	Undefined	Undefined	Epithelial cell	CD75		Company
Mouse	Undefined	Undefined	Epithelial cell	Cytokeratin		Company
Mouse	Undefined	Undefined	Epithelial cell	MHC class II		Company
Mouse	Undefined	Undefined	Red blood cell (erythrocyte)	Ter119		Company
Mouse	Undefined	Undefined	Red blood cell (erythrocyte)	CD24		Company
Mouse	Undefined	Undefined	Red blood cell (erythrocyte)	CD45		Company
Mouse	Undefined	Undefined	Fibroblast	CD47		Company
Mouse	Undefined	Undefined	Fibroblast	CD81		Company
Mouse	Undefined	Undefined	Fibroblast	Vimentin		Company
Mouse	Undefined	Undefined	Follicular B cell	Bcl-6		Company
Mouse	Undefined	Undefined	Follicular B cell	CD180		Company
Mouse	Undefined	Undefined	Follicular B cell	CD20		Company
Mouse	Undefined	Undefined	Follicular B cell	CD22		Company
Mouse	Undefined	Undefined	Follicular B cell	CD24		Company
Mouse	Undefined	Undefined	Follicular B cell	CD252		Company
Mouse	Undefined	Undefined	Follicular B cell	CD40		Company
Mouse	Undefined	Undefined	Follicular B cell	CD69		Company
Mouse	Undefined	Undefined	Follicular B cell	CD80		Company
Mouse	Undefined	Undefined	Follicular B cell	CD81		Company
Mouse	Undefined	Undefined	Follicular B cell	CD86		Company
Mouse	Undefined	Undefined	Follicular B cell	EBF1		Company
Mouse	Undefined	Undefined	Germinal center B cell	AID		Company
Mouse	Undefined	Undefined	Germinal center B cell	Bcl-6		Company
Mouse	Undefined	Undefined	Germinal center B cell	CD19		Company
Mouse	Undefined	Undefined	Germinal center B cell	CD81		Company
Mouse	Undefined	Undefined	Germinal center B cell	GL7		Company
Mouse	Undefined	Undefined	Germinal center B cell	IRF8		Company
Mouse	Undefined	Undefined	Granulocyte	CD11b		Company
Mouse	Undefined	Undefined	Granulocyte-monocyte progenitor	CD34		Company
Mouse	Undefined	Undefined	T helper cell	CD140		Company
Mouse	Undefined	Undefined	T helper cell	CD183		Company
Mouse	Undefined	Undefined	T helper cell	CD185		Company
Mouse	Undefined	Undefined	T helper cell	CD193		Company
Mouse	Undefined	Undefined	T helper cell	CD194		Company
Mouse	Undefined	Undefined	T helper cell	CD196		Company
Mouse	Undefined	Undefined	T helper cell	CD200		Company
Mouse	Undefined	Undefined	T helper cell	CD218a		Company
Mouse	Undefined	Undefined	T helper cell	CD294		Company
Mouse	Undefined	Undefined	T helper cell	CD34		Company
Mouse	Undefined	Undefined	T helper cell	CD357		Company
Mouse	Undefined	Undefined	T helper cell	CD38		Company
Mouse	Undefined	Undefined	T helper cell	CD39		Company
Mouse	Undefined	Undefined	T helper cell	CD4		Company
Mouse	Undefined	Undefined	T helper cell	CD40		Company
Mouse	Undefined	Undefined	T helper cell	CD44		Company
Mouse	Undefined	Undefined	T helper cell	CD45RA		Company
Mouse	Undefined	Undefined	T helper cell	CD45RO		Company
Mouse	Undefined	Undefined	T helper cell	CD5		Company
Mouse	Undefined	Undefined	T helper cell	CD57		Company
Mouse	Undefined	Undefined	T helper cell	CD7		Company
Mouse	Undefined	Undefined	T helper cell	CD8		Company
Mouse	Undefined	Undefined	T helper cell	CDw198		Company
Mouse	Undefined	Undefined	T helper cell	IL-21R		Company
Mouse	Undefined	Undefined	T helper cell	IL-9		Company
Mouse	Undefined	Undefined	T helper cell	TCR alpha/beta		Company
Mouse	Undefined	Undefined	Hematopoietic stem cell	CD34		Company
Mouse	Undefined	Undefined	Hematopoietic stem cell	CD48		Company
Mouse	Undefined	Undefined	Hematopoietic stem cell	CD49		Company
Mouse	Undefined	Undefined	Induced pluripotent stem cell	CD49f		Company
